# catalogVersion;syncItemKey;pk;iiCode;marshaCode;resortCode;tripAdvisorCode;uvCode;wCitiesID;weatherUndergroundCode;resort
Output Catalog:Online;ExternalCode_00012_001;8796487204482;MDS;CTDDS;DE;503396;DE;507;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:92210.1.99999.json;8796163670017
Output Catalog:Online;PA-resortExternalCodes-001;8797311254146;MKB;HKTPA;PA;1100013;PA;422;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.1.48564.json;8796551938049
Output Catalog:Online;ExternalCode_00003_001;8796461121154;MSU;AUAAC;AC;299788;AC;700;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.1.78982.json;8796163309569
Output Catalog:Online;ExternalCode_00049_001;8796509748866;;STTRS;RS;1633416;RS=St. Thomas,RE=St. Thomas Suites,RG=St. Thomas Suites Fixed;176;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00805.7.99999.json;8796163997697
Output Catalog:Online;ExternalCode_00034_001;8796531048066;MPB;PBIPS;PS;87491;PS;637;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:33404.4.99999.json;8796164325377
Output Catalog:Online;ExternalCode_00045_001;8796548513410;MSF;HHHSF;SF;552313;SF;989;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:29915.2.99999.json;8796164653057
Output Catalog:Online;ExternalCode_00033_001;8796450668162;MVO;PBISN;SN;1763100;SN;637;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:33403.4.99999.json;8796163080193
Output Catalog:Online;ExternalCode_00041_001;8796458925698;MDO;WHRDO;DO;460086;DO;699;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:81657.1.99999.json;8796163211265
Output Catalog:Online;ExternalCode_00008_001;8796482911874;MMI;MRKML;ML;1161178;ML;707;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:34145.1.99999.json;8796163604481
Output Catalog:Online;ExternalCode_00021_001;8796501130882;MKO;HNLKO;KO;275980;KO;103;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:96707.1.99999.json;8796163866625
Output Catalog:Online;BK-resortExternalCodes-001;8797312499330;MPP;BKKEP;BK;2167945;BK;185;https://api.wunderground.com/api/ef316c2c8accef68/conditions/forecast10day/q/zmw:00000.1.48454.json;8796551970817
